Date,Time,Open,High,Low,Close,Vol,OI
2/2/2009,23:00,-55,-25,-86,-44,0,0
2/2/2009,23:30,-44,51,-44,36,0,0
2/3/2009,0:00,36,39,-4,7,0,0
2/3/2009,0:30,7,11,-12,3,0,0
2/3/2009,1:00,3,16,-6,2,0,0
2/3/2009,1:30,1,22,1,14,0,0
2/3/2009,2:00,14,34,14,29,0,0
2/3/2009,2:30,30,30,-5,-4,0,0
2/3/2009,3:00,-4,13,-15,-13,0,0
2/3/2009,3:30,-13,-10,-22,-10,0,0
2/3/2009,4:00,-11,-10,-22,-14,0,0
2/3/2009,4:30,-14,29,-20,29,0,0
2/3/2009,5:00,30,45,24,31,0,0
2/3/2009,23:00,15,46,-76,-65,0,0
2/3/2009,23:30,-61,-19,-64,-31,0,0
2/4/2009,0:00,-31,35,-45,5,0,0
2/4/2009,0:30,4,50,3,28,0,0
2/4/2009,1:00,28,33,12,23,0,0
2/4/2009,1:30,23,29,5,20,0,0
2/4/2009,2:00,20,32,10,11,0,0
2/4/2009,2:30,11,25,4,9,0,0
2/4/2009,3:00,9,36,8,19,0,0
2/4/2009,3:30,19,62,19,52,0,0
2/4/2009,4:00,52,67,50,53,0,0
2/4/2009,4:30,54,79,50,76,0,0
2/4/2009,5:00,76,77,60,60,0,0
2/4/2009,23:00,3,70,-16,65,0,0
2/4/2009,23:30,65,79,65,78,0,0
2/5/2009,0:00,78,82,76,80,0,0
2/5/2009,0:30,80,81,68,70,0,0
2/5/2009,1:00,70,70,58,62,0,0
2/5/2009,1:30,62,62,56,59,0,0
2/5/2009,2:00,59,61,48,50,0,0
2/5/2009,2:30,50,53,40,53,0,0
2/5/2009,3:00,53,53,-20,6,0,0
2/5/2009,3:30,7,13,-13,1,0,0
2/5/2009,4:00,1,22,-7,19,0,0
2/5/2009,4:30,19,30,2,10,0,0
2/5/2009,5:00,10,25,-1,4,0,0
2/5/2009,23:00,-48,-25,-88,-57,0,0
2/5/2009,23:30,-57,12,-62,-2,0,0
2/6/2009,0:00,-2,59,-19,50,0,0
2/6/2009,0:30,50,60,42,50,0,0
2/6/2009,1:00,50,70,48,67,0,0
2/6/2009,1:30,68,80,68,71,0,0
2/6/2009,2:00,71,74,62,74,0,0
2/6/2009,2:30,74,76,64,66,0,0
2/6/2009,3:00,66,72,65,68,0,0
2/6/2009,3:30,66,76,66,76,0,0
2/6/2009,4:00,76,77,66,70,0,0
2/6/2009,4:30,70,74,58,74,0,0
2/6/2009,5:00,74,77,70,70,0,0
2/6/2009,23:00,15,90,-16,84,0,0
2/6/2009,23:30,84,85,49,60,0,0
2/7/2009,0:00,60,74,47,66,0,0
2/7/2009,0:30,67,78,63,64,0,0
2/7/2009,1:00,64,76,64,72,0,0
2/7/2009,1:30,72,77,62,65,0,0
2/7/2009,2:00,65,73,65,68,0,0
2/7/2009,2:30,68,80,68,79,0,0
2/7/2009,3:00,79,80,74,74,0,0
2/7/2009,3:30,74,77,66,72,0,0
2/7/2009,4:00,72,82,70,78,0,0
2/7/2009,4:30,78,78,64,72,0,0
2/7/2009,5:00,72,80,68,72,0,0
2/9/2009,23:00,-4,-4,-58,-34,0,0
2/9/2009,23:30,-34,-32,-62,-52,0,0
2/10/2009,0:00,-50,37,-56,32,0,0
2/10/2009,0:30,32,34,-8,1,0,0
2/10/2009,1:00,1,4,-31,-7,0,0
2/10/2009,1:30,-6,27,-24,22,0,0
2/10/2009,2:00,22,28,-12,19,0,0
2/10/2009,2:30,18,22,6,7,0,0
2/10/2009,3:00,7,8,-19,1,0,0
2/10/2009,3:30,1,6,-34,-27,0,0
2/10/2009,4:00,-27,-15,-41,-21,0,0
2/10/2009,4:30,-20,9,-28,6,0,0
2/10/2009,5:00,5,12,-6,-2,0,0
2/10/2009,23:00,-42,26,-77,-5,0,0
2/10/2009,23:30,-5,10,-56,-54,0,0
2/11/2009,0:00,-54,-34,-62,-51,0,0
2/11/2009,0:30,-51,-37,-84,-76,0,0
