Date,Time,Open,High,Low,Close,Vol,OI
1/1/2009,0:00,15824,21645,11580,18518,0,0
1/1/2009,0:30,18519,22478,10815,12924,0,0
1/1/2009,1:00,12925,26124,5660,15691,0,0
1/1/2009,1:30,14488,27647,12585,20732,0,0
1/1/2009,2:00,20734,21550,16171,21125,0,0
1/1/2009,2:30,21125,28132,16961,26579,0,0
1/1/2009,3:00,26580,27883,21136,23308,0,0
1/1/2009,3:30,23309,26029,18275,25897,0,0
1/1/2009,4:00,25897,45283,23219,25422,0,0
1/1/2009,4:30,27950,62637,13439,41386,0,0
1/1/2009,5:00,41396,182845,31766,150553,0,0
1/1/2009,23:00,0,0,0,0,0,0
1/1/2009,23:30,0,0,0,0,0,0
1/2/2009,0:00,0,0,0,0,0,0
1/2/2009,0:30,0,0,0,0,0,0
1/2/2009,1:00,0,0,0,0,0,0
1/2/2009,1:30,0,0,0,0,0,0
1/2/2009,2:00,0,0,0,0,0,0
1/2/2009,2:30,0,0,0,0,0,0
1/2/2009,3:00,0,0,0,0,0,0
1/2/2009,3:30,0,0,0,0,0,0
1/2/2009,4:00,0,0,0,0,0,0
1/2/2009,4:30,0,0,0,0,0,0
1/2/2009,5:00,0,0,0,0,0,0
1/2/2009,23:00,3438,23592,1686,23592,0,0
1/2/2009,23:30,23595,31431,20469,22182,0,0
1/3/2009,0:00,22182,24271,3619,3853,0,0
1/3/2009,0:30,3853,13108,3853,7115,0,0
1/3/2009,1:00,7116,9972,6391,8801,0,0
1/3/2009,1:30,8801,10008,8594,9176,0,0
1/3/2009,2:00,9176,9219,3211,5090,0,0
1/3/2009,2:30,5090,9745,5090,6006,0,0
1/3/2009,3:00,6009,9134,5580,6948,0,0
1/3/2009,3:30,6948,10072,6303,9384,0,0
1/3/2009,4:00,9384,9772,7635,8494,0,0
1/3/2009,4:30,8494,9708,7625,7682,0,0
1/3/2009,5:00,7682,11105,3248,4947,0,0
1/5/2009,23:00,1593,65650,1593,64906,0,0
1/5/2009,23:30,64942,94612,64297,84351,0,0
1/6/2009,0:00,84385,115443,78672,99815,0,0
1/6/2009,0:30,113355,155421,81864,134757,0,0
1/6/2009,1:00,134761,166341,134761,157560,0,0
1/6/2009,1:30,157566,164529,130553,161196,0,0
1/6/2009,2:00,161197,195167,161197,195167,0,0
1/6/2009,2:30,195177,200886,162235,177789,0,0
1/6/2009,3:00,177789,206614,163479,176103,0,0
1/6/2009,3:30,176115,216592,173066,212343,0,0
1/6/2009,4:00,212373,307651,210013,281650,0,0
1/6/2009,4:30,281656,417033,249776,374557,0,0
1/6/2009,5:00,374572,393445,310931,380391,0,0
1/6/2009,23:00,146,11349,146,9501,0,0
1/6/2009,23:30,9503,33255,7755,33255,0,0
1/7/2009,0:00,33258,44681,27598,44681,0,0
1/7/2009,0:30,41800,62864,41800,52358,0,0
1/7/2009,1:00,52359,59057,49716,57472,0,0
1/7/2009,1:30,57477,65157,52095,61414,0,0
1/7/2009,2:00,61418,65447,54124,56072,0,0
1/7/2009,2:30,56073,80802,56073,80802,0,0
1/7/2009,3:00,80805,112815,67841,109484,0,0
1/7/2009,3:30,112817,126206,110346,114435,0,0
1/7/2009,4:00,114442,121017,107027,110561,0,0
1/7/2009,4:30,110571,146828,110571,146828,0,0
1/7/2009,5:00,146847,174127,146532,174127,0,0
1/7/2009,23:00,3997,99651,3997,99651,0,0
1/7/2009,23:30,99664,180995,96337,180995,0,0
1/8/2009,0:00,181026,225269,181026,225269,0,0
1/8/2009,0:30,225283,274330,225283,274330,0,0
1/8/2009,1:00,273531,297467,266263,297467,0,0
1/8/2009,1:30,297477,331063,297477,331063,0,0
1/8/2009,2:00,331081,372956,330185,372956,0,0
1/8/2009,2:30,372962,395751,371696,395049,0,0
1/8/2009,3:00,395053,446419,392491,446419,0,0
1/8/2009,3:30,446434,492039,445792,483185,0,0
1/8/2009,4:00,483198,546757,482981,542277,0,0
1/8/2009,4:30,542316,637913,534927,625550,0,0
1/8/2009,5:00,625563,767757,605145,767757,0,0
