"Date","Time","Open","High","Low","Close","Vol","OI"
12/17/2008,23:30,0.33,0.33,0.33,0.33,654080,604480
12/18/2008,00:00,0.33,0.33,0.33,0.33,188160,80000
12/18/2008,01:00,0.33,0.34,0.33,0.34,108960,276320
12/18/2008,02:00,0.35,0.35,0.34,0.35,352000,16000
12/18/2008,02:30,0.34,0.34,0.34,0.34,0,215840
12/18/2008,03:00,0.35,0.35,0.35,0.35,116320,306080
12/18/2008,03:30,0.35,0.35,0.34,0.34,367040,214560
12/18/2008,04:00,0.34,0.34,0.33,0.34,216640,314720
12/18/2008,23:00,0.33,0.33,0.33,0.33,223520,148320
12/18/2008,23:30,0.33,0.33,0.33,0.33,64320,0
12/19/2008,00:00,0.33,0.33,0.33,0.33,16000,43200
12/19/2008,00:30,0.33,0.33,0.33,0.33,0,36320
12/19/2008,01:00,0.33,0.33,0.33,0.33,57440,16000
12/19/2008,02:00,0.33,0.33,0.33,0.33,16000,48000
12/19/2008,02:30,0.33,0.33,0.33,0.33,16000,0
12/19/2008,03:00,0.32,0.32,0.32,0.32,32000,16000
12/19/2008,03:30,0.32,0.32,0.32,0.32,32160,154880
12/19/2008,04:00,0.32,0.32,0.32,0.32,149600,77760
12/19/2008,04:30,0.32,0.32,0.30,0.30,16000,728160
12/19/2008,05:00,0.31,0.31,0.31,0.31,218080,340480
12/19/2008,23:00,0.33,0.33,0.32,0.32,302400,200000
12/19/2008,23:30,0.33,0.33,0.33,0.33,360960,232800
12/20/2008,00:00,0.33,0.33,0.33,0.33,106560,330560
12/20/2008,01:00,0.33,0.33,0.33,0.33,138560,34240
12/20/2008,02:00,0.32,0.32,0.32,0.32,101280,261120
12/20/2008,02:30,0.32,0.32,0.32,0.32,122560,0
12/20/2008,04:00,0.32,0.32,0.32,0.32,122880,0
12/20/2008,04:30,0.32,0.32,0.32,0.32,179840,265440
12/20/2008,05:00,0.32,0.32,0.32,0.32,86400,132320
12/22/2008,23:00,0.32,0.32,0.30,0.31,400000,704000
12/22/2008,23:30,0.30,0.30,0.30,0.30,118240,106560
12/23/2008,00:30,0.30,0.30,0.30,0.30,240000,0
12/23/2008,01:00,0.30,0.30,0.30,0.30,0,250400
12/23/2008,01:30,0.29,0.30,0.29,0.30,194560,16000
12/23/2008,02:30,0.30,0.30,0.30,0.30,80000,48000
12/23/2008,03:00,0.29,0.29,0.29,0.29,0,473280
12/23/2008,03:30,0.29,0.29,0.29,0.29,101280,108640
12/23/2008,04:00,0.29,0.29,0.28,0.28,0,171360
12/23/2008,04:30,0.28,0.28,0.28,0.28,16000,208000
12/23/2008,05:00,0.28,0.29,0.28,0.29,78880,32800
12/23/2008,23:00,0.31,0.31,0.31,0.31,71520,0
12/23/2008,23:30,0.31,0.31,0.30,0.30,429760,200000
12/24/2008,00:00,0.31,0.31,0.30,0.30,128000,16000
12/24/2008,00:30,0.30,0.30,0.30,0.30,64000,16000
12/24/2008,01:00,0.30,0.30,0.30,0.30,144000,16000
12/24/2008,01:30,0.29,0.29,0.29,0.29,80000,96000
12/24/2008,03:00,0.29,0.29,0.29,0.29,0,16000
12/24/2008,03:30,0.29,0.29,0.29,0.29,48000,96000
12/24/2008,04:00,0.29,0.29,0.29,0.29,16000,64000
12/24/2008,04:30,0.29,0.29,0.29,0.29,240000,128000
12/24/2008,05:00,0.29,0.29,0.29,0.29,488000,96000
12/24/2008,23:30,0.29,0.29,0.29,0.29,32000,16000
12/25/2008,00:00,0.29,0.29,0.29,0.29,32000,32000
12/25/2008,01:30,0.29,0.29,0.29,0.29,16000,16000
12/25/2008,02:00,0.29,0.29,0.29,0.29,640000,160000
12/25/2008,02:30,0.29,0.29,0.29,0.29,128000,0
12/26/2008,23:30,0.29,0.29,0.29,0.29,80000,0
12/27/2008,00:00,0.29,0.29,0.29,0.29,80000,80000
12/27/2008,00:30,0.29,0.29,0.29,0.29,0,140000
12/27/2008,01:00,0.29,0.29,0.29,0.29,128000,0
12/27/2008,02:00,0.29,0.29,0.29,0.29,336000,112000
12/27/2008,02:30,0.29,0.29,0.29,0.29,208000,0
12/27/2008,03:00,0.29,0.29,0.29,0.29,272000,0
12/27/2008,04:30,0.29,0.29,0.29,0.29,192000,0
12/29/2008,23:30,0.29,0.29,0.28,0.28,0,350400
12/30/2008,00:00,0.28,0.28,0.28,0.28,214720,180160
12/30/2008,00:30,0.28,0.28,0.28,0.28,0,16000
12/30/2008,01:00,0.28,0.28,0.28,0.28,32800,0
12/30/2008,01:30,0.28,0.28,0.28,0.28,32000,0
12/30/2008,02:00,0.28,0.28,0.28,0.28,0,193440
12/30/2008,03:30,0.28,0.28,0.28,0.28,0,351680
12/30/2008,04:30,0.28,0.28,0.28,0.28,64000,147040
12/30/2008,05:00,0.28,0.28,0.28,0.28,24800,16000
12/30/2008,23:00,0.30,0.30,0.30,0.30,496000,480960
12/30/2008,23:30,0.29,0.30,0.29,0.30,239040,48000
12/31/2008,00:00,0.30,0.30,0.30,0.30,176000,0
12/31/2008,00:30,0.30,0.30,0.30,0.30,48000,32000
12/31/2008,01:00,0.31,0.31,0.31,0.31,144000,0
12/31/2008,01:30,0.31,0.31,0.31,0.31,400000,177120
