"Date","Time","Open","High","Low","Close","Vol","OI"
11/06/2008,23:00,-14,68,-62,-14,0,0
11/06/2008,23:30,-22,74,-76,28,0,0
11/07/2008,00:00,16,74,-62,48,0,0
11/07/2008,00:30,44,62,-64,38,0,0
11/07/2008,01:00,30,72,-68,-38,0,0
11/07/2008,01:30,-42,64,-68,8,0,0
11/07/2008,02:00,8,72,-68,20,0,0
11/07/2008,02:30,20,78,-76,-34,0,0
11/07/2008,03:00,-28,76,-68,16,0,0
11/07/2008,03:30,12,74,-74,2,0,0
11/07/2008,04:00,2,80,-82,6,0,0
11/07/2008,04:30,4,88,-74,8,0,0
11/07/2008,05:00,2,76,-82,24,0,0
11/07/2008,23:00,20,56,-66,-14,0,0
11/07/2008,23:30,-12,70,-74,-4,0,0
11/08/2008,00:00,-10,66,-68,18,0,0
11/08/2008,00:30,8,66,-74,46,0,0
11/08/2008,01:00,-48,64,-68,16,0,0
11/08/2008,01:30,16,72,-64,-30,0,0
11/08/2008,02:00,-30,76,-58,-36,0,0
11/08/2008,02:30,-18,70,-72,12,0,0
11/08/2008,03:00,10,72,-62,8,0,0
11/08/2008,03:30,20,60,-72,20,0,0
11/08/2008,04:00,28,76,-80,-62,0,0
11/08/2008,04:30,-50,76,-80,-28,0,0
11/08/2008,05:00,-22,70,-86,24,0,0
11/10/2008,23:00,22,69,-65,21,0,0
11/10/2008,23:30,21,65,-71,5,0,0
11/11/2008,00:00,11,65,-61,-27,0,0
11/11/2008,00:30,5,69,-65,-3,0,0
11/11/2008,01:00,-5,69,-73,9,0,0
11/11/2008,01:30,19,81,-73,-43,0,0
11/11/2008,02:00,-49,71,-85,23,0,0
11/11/2008,02:30,25,65,-73,1,0,0
11/11/2008,03:00,1,77,-75,1,0,0
11/11/2008,03:30,1,79,-81,1,0,0
11/11/2008,04:00,-11,69,-77,3,0,0
11/11/2008,04:30,-1,77,-77,-67,0,0
11/11/2008,05:00,-65,77,-79,5,0,0
11/11/2008,23:00,-4,77,-59,11,0,0
11/11/2008,23:30,13,75,-85,-17,0,0
11/12/2008,00:00,-51,69,-59,9,0,0
11/12/2008,00:30,15,73,-67,-23,0,0
11/12/2008,01:00,-25,63,-61,-1,0,0
11/12/2008,01:30,-9,65,-73,-11,0,0
11/12/2008,02:00,-11,65,-67,43,0,0
11/12/2008,02:30,51,73,-67,-9,0,0
11/12/2008,03:00,11,71,-77,7,0,0
11/12/2008,03:30,-3,79,-77,-9,0,0
11/12/2008,04:00,-3,73,-79,-43,0,0
11/12/2008,04:30,-61,79,-79,3,0,0
11/12/2008,05:00,-5,79,-83,-29,0,0
11/12/2008,23:00,-8,69,-71,-27,0,0
11/12/2008,23:30,-23,69,-75,-19,0,0
11/13/2008,00:00,-17,75,-69,-21,0,0
11/13/2008,00:30,-19,65,-69,31,0,0
11/13/2008,01:00,41,57,-67,-5,0,0
11/13/2008,01:30,7,79,-75,-5,0,0
11/13/2008,02:00,-1,79,-55,41,0,0
11/13/2008,02:30,39,73,-67,9,0,0
11/13/2008,03:00,5,69,-77,25,0,0
11/13/2008,03:30,11,73,-71,-15,0,0
11/13/2008,04:00,-23,67,-77,-43,0,0
11/13/2008,04:30,-47,77,-71,-11,0,0
11/13/2008,05:00,-13,81,-75,-25,0,0
11/13/2008,23:00,30,59,-65,9,0,0
11/13/2008,23:30,3,75,-77,-7,0,0
11/14/2008,00:00,-9,67,-65,41,0,0
11/14/2008,00:30,31,77,-73,33,0,0
11/14/2008,01:00,31,69,-71,11,0,0
11/14/2008,01:30,13,61,-79,-29,0,0
11/14/2008,02:00,9,57,-71,-23,0,0
11/14/2008,02:30,-45,77,-81,45,0,0
11/14/2008,03:00,51,71,-79,-37,0,0
11/14/2008,03:30,-35,77,-79,-45,0,0
11/14/2008,04:00,-49,73,-77,-35,0,0
11/14/2008,04:30,-37,85,-77,41,0,0
11/14/2008,05:00,47,77,-69,1,0,0
11/14/2008,23:00,7,63,-77,29,0,0
11/14/2008,23:30,13,67,-75,3,0,0
11/15/2008,00:00,-1,73,-69,-35,0,0
11/15/2008,00:30,-37,77,-81,-47,0,0
11/15/2008,01:00,-51,69,-69,-39,0,0
11/15/2008,01:30,-27,87,-71,-23,0,0
11/15/2008,02:00,-17,79,-79,-23,0,0
11/15/2008,02:30,-23,75,-71,47,0,0
11/15/2008,03:00,37,79,-77,-55,0,0
11/15/2008,03:30,-33,83,-75,7,0,0
11/15/2008,04:00,5,79,-87,27,0,0
11/15/2008,04:30,35,85,-81,9,0,0
11/15/2008,05:00,3,75,-77,-19,0,0
11/17/2008,23:00,-15,69,-61,-19,0,0
11/17/2008,23:30,-25,73,-67,-3,0,0
11/18/2008,00:00,-3,65,-73,-1,0,0
11/18/2008,00:30,-7,73,-71,-13,0,0
11/18/2008,01:00,-17,77,-71,-23,0,0
11/18/2008,01:30,-17,77,-77,5,0,0
11/18/2008,02:00,3,71,-65,-31,0,0
11/18/2008,02:30,-31,83,-75,7,0,0
11/18/2008,03:00,5,81,-73,-55,0,0
11/18/2008,03:30,-55,79,-81,-9,0,0
11/18/2008,04:00,37,77,-75,27,0,0
11/18/2008,04:30,19,85,-71,3,0,0
11/18/2008,05:00,3,87,-79,9,0,0
11/18/2008,23:00,-23,69,-57,-49,0,0
11/18/2008,23:30,-37,65,-71,37,0,0
11/19/2008,00:00,43,73,-71,15,0,0
11/19/2008,00:30,17,63,-73,-1,0,0
11/19/2008,01:00,1,73,-63,35,0,0
11/19/2008,01:30,29,63,-81,7,0,0
11/19/2008,02:00,5,59,-65,-15,0,0
11/19/2008,02:30,-29,67,-71,15,0,0
11/19/2008,03:00,15,83,-71,43,0,0
11/19/2008,03:30,49,81,-75,-27,0,0
11/19/2008,04:00,-7,61,-75,-15,0,0
11/19/2008,04:30,-9,83,-79,17,0,0
11/19/2008,05:00,31,77,-73,17,0,0
11/19/2008,23:00,-12,75,-69,11,0,0
11/19/2008,23:30,11,77,-67,29,0,0
11/20/2008,00:00,23,65,-83,13,0,0
