Date,Time,Open,High,Low,Close,Vol,OI
2/2/2009,23:00,90,46650,90,46306,0,0
2/2/2009,23:30,46333,157206,46333,156579,0,0
2/3/2009,0:00,156600,189383,138149,181546,0,0
2/3/2009,0:30,181556,211142,163802,207196,0,0
2/3/2009,1:00,207216,240965,207216,234740,0,0
2/3/2009,1:30,232351,284433,232351,284433,0,0
2/3/2009,2:00,284436,349595,284436,347957,0,0
2/3/2009,2:30,350404,355832,311396,332925,0,0
2/3/2009,3:00,332930,387407,328239,337721,0,0
2/3/2009,3:30,337727,379170,318998,379170,0,0
2/3/2009,4:00,363923,396013,327512,381430,0,0
2/3/2009,4:30,381441,544184,360122,544184,0,0
2/3/2009,5:00,545378,695729,545378,693215,0,0
2/3/2009,23:00,1809,13674,1809,10588,0,0
2/3/2009,23:30,13140,44569,12573,38169,0,0
2/4/2009,0:00,40865,140000,35164,123605,0,0
2/4/2009,0:30,123608,197884,122153,167062,0,0
2/4/2009,1:00,167080,201591,166844,196498,0,0
2/4/2009,1:30,196507,217947,163106,216131,0,0
2/4/2009,2:00,216135,238305,209197,226042,0,0
2/4/2009,2:30,226052,247325,221727,235421,0,0
2/4/2009,3:00,235440,282059,235440,275303,0,0
2/4/2009,3:30,275305,363888,275305,362704,0,0
2/4/2009,4:00,362738,438868,360969,411902,0,0
2/4/2009,4:30,414061,578822,411909,578822,0,0
2/4/2009,5:00,578839,728572,575797,703838,0,0
2/4/2009,23:00,4089,102808,4089,101758,0,0
2/4/2009,23:30,101773,202585,101773,202585,0,0
2/5/2009,0:00,202626,288195,202626,288195,0,0
2/5/2009,0:30,288227,343671,288227,339748,0,0
2/5/2009,1:00,340217,372914,339853,366695,0,0
2/5/2009,1:30,366708,406736,365746,406114,0,0
2/5/2009,2:00,406126,432944,401783,432944,0,0
2/5/2009,2:30,432950,472892,410712,472892,0,0
2/5/2009,3:00,472948,479648,343616,445308,0,0
2/5/2009,3:30,448412,488413,395921,431545,0,0
2/5/2009,4:00,431564,510227,411902,485432,0,0
2/5/2009,4:30,485435,614381,475836,594557,0,0
2/5/2009,5:00,594567,698229,591115,677162,0,0
2/5/2009,23:00,470,42073,470,24411,0,0
2/5/2009,23:30,24416,87954,23831,87954,0,0
2/6/2009,0:00,87979,258395,82267,254707,0,0
2/6/2009,0:30,254737,325520,234446,322279,0,0
2/6/2009,1:00,322291,391679,314303,391679,0,0
2/6/2009,1:30,395388,470013,390077,463198,0,0
2/6/2009,2:00,463252,520131,455825,520131,0,0
2/6/2009,2:30,520152,555351,519266,555351,0,0
2/6/2009,3:00,555357,592863,555357,591482,0,0
2/6/2009,3:30,590030,665945,590030,665945,0,0
2/6/2009,4:00,665991,709682,652142,706140,0,0
2/6/2009,4:30,706152,803247,706037,803247,0,0
2/6/2009,5:00,803285,985572,775366,976383,0,0
2/6/2009,23:00,1987,101630,1987,101630,0,0
2/6/2009,23:30,101656,153090,97565,152746,0,0
2/7/2009,0:00,152921,222678,146661,219781,0,0
2/7/2009,0:30,219792,271648,215671,271648,0,0
2/7/2009,1:00,271666,320703,271666,320703,0,0
2/7/2009,1:30,320793,355932,316755,355757,0,0
2/7/2009,2:00,355769,406857,355769,400146,0,0
2/7/2009,2:30,400153,478564,400153,476980,0,0
2/7/2009,3:00,476996,524786,476996,524786,0,0
2/7/2009,3:30,524820,587080,518733,587080,0,0
2/7/2009,4:00,587092,662731,587092,662731,0,0
2/7/2009,4:30,662771,725133,655048,720899,0,0
2/7/2009,5:00,720980,915554,715589,900955,0,0
2/9/2009,23:00,589,25856,589,22412,0,0
2/9/2009,23:30,22417,32785,18143,28726,0,0
2/10/2009,0:00,28736,119633,24151,116833,0,0
2/10/2009,0:30,116845,137055,100431,124847,0,0
2/10/2009,1:00,124852,136740,101798,136508,0,0
2/10/2009,1:30,136509,215608,124598,212553,0,0
2/10/2009,2:00,212559,222368,165041,210079,0,0
2/10/2009,2:30,210084,233826,206270,215607,0,0
2/10/2009,3:00,215662,238015,187390,238015,0,0
2/10/2009,3:30,238033,262668,164237,208886,0,0
2/10/2009,4:00,208889,253717,137372,238421,0,0
2/10/2009,4:30,238423,331549,185611,319064,0,0
2/10/2009,5:00,319070,394016,309754,394016,0,0
2/10/2009,23:00,156,65263,156,65263,0,0
2/10/2009,23:30,65339,89335,39285,49764,0,0
2/11/2009,0:00,49849,80016,44109,52344,0,0
2/11/2009,0:30,52353,64618,20779,57116,0,0
2/11/2009,1:00,57140,57553,7309,18621,0,0
2/11/2009,1:30,18624,30966,18624,20132,0,0
2/11/2009,2:00,20132,32805,20132,21350,0,0
2/11/2009,2:30,21350,26859,7321,8209,0,0
2/11/2009,3:00,8209,18528,7720,7851,0,0
2/11/2009,3:30,7851,8521,7851,8521,0,0
2/11/2009,4:00,8524,9376,8524,9376,0,0
2/11/2009,4:30,9379,10411,9379,10411,0,0
2/11/2009,5:00,10411,20422,10411,20422,0,0
2/11/2009,23:00,39,5967,39,4875,0,0
2/11/2009,23:30,4875,5862,3976,5162,0,0
2/12/2009,0:00,5162,109891,4729,107468,0,0
2/12/2009,0:30,107497,189467,94882,189361,0,0
2/12/2009,1:00,189393,244978,150014,183419,0,0
2/12/2009,1:30,183442,219676,157736,203113,0,0
2/12/2009,2:00,203115,258095,168995,216923,0,0
2/12/2009,2:30,216063,257548,178084,233794,0,0
2/12/2009,3:00,233795,246079,127156,152623,0,0
