Date,Time,Open,High,Low,Close,Vol,OI
1/1/2009,0:00,54753,87852,52805,79032,0,0
1/1/2009,0:30,79034,120603,79018,117892,0,0
1/1/2009,1:00,117899,139936,107537,139936,0,0
1/1/2009,1:30,141140,155068,132236,154718,0,0
1/1/2009,2:00,154718,178348,154718,173923,0,0
1/1/2009,2:30,173933,191895,172091,186931,0,0
1/1/2009,3:00,186951,219173,185097,216617,0,0
1/1/2009,3:30,216646,247258,216458,246383,0,0
1/1/2009,4:00,246387,275680,218897,275680,0,0
1/1/2009,4:30,273161,304700,242016,294697,0,0
1/1/2009,5:00,294707,328377,114261,259581,0,0
1/1/2009,23:00,0,0,0,0,0,0
1/1/2009,23:30,0,0,0,0,0,0
1/2/2009,0:00,0,0,0,0,0,0
1/2/2009,0:30,0,0,0,0,0,0
1/2/2009,1:00,0,0,0,0,0,0
1/2/2009,1:30,0,0,0,0,0,0
1/2/2009,2:00,0,0,0,0,0,0
1/2/2009,2:30,0,0,0,0,0,0
1/2/2009,3:00,0,0,0,0,0,0
1/2/2009,3:30,0,0,0,0,0,0
1/2/2009,4:00,0,0,0,0,0,0
1/2/2009,4:30,0,0,0,0,0,0
1/2/2009,5:00,0,0,0,0,0,0
1/2/2009,23:00,-1582,18423,-4556,13914,0,0
1/2/2009,23:30,13914,56856,10314,56106,0,0
1/3/2009,0:00,56128,140150,49842,140150,0,0
1/3/2009,0:30,140178,167624,138068,165216,0,0
1/3/2009,1:00,165226,205157,164450,205157,0,0
1/3/2009,1:30,205165,228935,205165,228935,0,0
1/3/2009,2:00,228945,268326,228945,268326,0,0
1/3/2009,2:30,268334,294545,264683,294545,0,0
1/3/2009,3:00,294712,322780,294712,322780,0,0
1/3/2009,3:30,322785,356592,319430,356117,0,0
1/3/2009,4:00,356124,395367,356124,395367,0,0
1/3/2009,4:30,395390,442525,395390,440951,0,0
1/3/2009,5:00,440967,603293,440967,603283,0,0
1/5/2009,23:00,412,412,-53594,-46756,0,0
1/5/2009,23:30,-46787,-15094,-64666,-20329,0,0
1/6/2009,0:00,-20355,24386,-29646,-8484,0,0
1/6/2009,0:30,-22013,53409,-67511,-20399,0,0
1/6/2009,1:00,-20399,-4252,-41633,-32449,0,0
1/6/2009,1:30,-32453,54322,-38793,5880,0,0
1/6/2009,2:00,5882,5882,-34021,-29905,0,0
1/6/2009,2:30,-29904,60640,-29926,32381,0,0
1/6/2009,3:00,32383,85109,-8361,85109,0,0
1/6/2009,3:30,85101,103755,41652,51790,0,0
1/6/2009,4:00,51808,86288,-82474,-27552,0,0
1/6/2009,4:30,-28368,33453,-247873,-149920,0,0
1/6/2009,5:00,-149928,2106,-179374,-30618,0,0
1/6/2009,23:00,3727,82721,3727,82721,0,0
1/6/2009,23:30,82765,125233,82765,120183,0,0
1/7/2009,0:00,120204,153874,120204,152891,0,0
1/7/2009,0:30,155841,184829,135650,183078,0,0
1/7/2009,1:00,183080,212399,183080,212399,0,0
1/7/2009,1:30,212408,258619,207487,253927,0,0
1/7/2009,2:00,253930,317499,250345,316138,0,0
1/7/2009,2:30,316151,332348,298676,315352,0,0
1/7/2009,3:00,315354,352308,261184,302382,0,0
1/7/2009,3:30,299053,354805,283618,354805,0,0
1/7/2009,4:00,354884,416636,352005,416636,0,0
1/7/2009,4:30,416649,428933,402000,426719,0,0
1/7/2009,5:00,426712,527995,426712,527900,0,0
1/7/2009,23:00,-3992,-3992,-88625,-88625,0,0
1/7/2009,23:30,-88627,-82460,-162212,-162212,0,0
1/8/2009,0:00,-162242,-162242,-184833,-180102,0,0
1/8/2009,0:30,-180110,-180110,-227298,-224534,0,0
